product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct,uk_price_variant,uk_price_variant_label
hydrogen,cbam_default,medium,2029,10,2,0.08,truncate,-384.7,ningbo_felixstowe,ningbo_felixstowe,False,2065.16,1452.63,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2030,10,1,0.08,truncate,-246.06,ningbo_felixstowe,ningbo_felixstowe,False,1191.2,945.14,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2026,10,10,0.08,hold_final,-34.98,ningbo_felixstowe,halifax_hamburg,True,647.65,738.4,90.75,14.01,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2027,10,10,0.08,hold_final,2.08,halifax_hamburg,halifax_hamburg,False,724.92,874.77,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2028,10,10,0.08,hold_final,9.1,halifax_hamburg,halifax_hamburg,False,800.05,973.7,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2029,10,10,0.08,hold_final,16.23,halifax_hamburg,halifax_hamburg,False,868.59,1060.35,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
ammonia,cbam_default,medium,2030,10,10,0.08,hold_final,28.1,halifax_hamburg,halifax_hamburg,False,916.88,1120.51,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2026,10,10,0.08,hold_final,-467.53,ningbo_felixstowe,ningbo_felixstowe,False,6878.36,4514.07,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2027,10,10,0.08,hold_final,-349.76,ningbo_felixstowe,ningbo_felixstowe,False,7519.05,5347.47,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
hydrogen,cbam_default,medium,2028,10,10,0.08,hold_final,-425.18,ningbo_felixstowe,ningbo_felixstowe,False,8042.79,5952.13,0.0,0.0,linked,EU-UK ETS linkage: converges to EU price (NOT law)
