corridor,product,pathway,year,price_scenario,route_scenario,speed_scenario,vessel_set,vessel_class,uk_ets_variant,uk_price_variant,bunker_fuel,currency,cargo_tonnes,embedded_emissions_tco2e_per_tonne,cbam_cost_per_tonne,eu_ets_cost_per_tonne,fueleu_cost_per_tonne,uk_ets_cost_per_tonne,maritime_cost_per_tonne,total_compliance_cost_per_tonne
halifax_hamburg,hydrogen,grey_smr,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,222.94483899999997,9.693805765271104,2.2698623385811674,0.0,11.963668103852271,234.90850710385223
halifax_hamburg,hydrogen,blue_smr_ccs,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,9.693805765271104,2.2698623385811674,0.0,11.963668103852271,11.963668103852271
halifax_hamburg,hydrogen,cbam_default,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,385.22239900000005,9.693805765271104,2.2698623385811674,0.0,11.963668103852271,397.18606710385234
halifax_hamburg,ammonia,grey_smr,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,32.902222,1.00629653378932,0.2356303250552357,0.0,1.2419268588445556,34.14414885884456
halifax_hamburg,ammonia,green_electrolysis,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.00629653378932,0.2356303250552357,0.0,1.2419268588445556,1.2419268588445556
halifax_hamburg,ammonia,cbam_default,2028,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,25.584299999999995,1.00629653378932,0.2356303250552357,0.0,1.2419268588445556,26.82622685884455
halifax_hamburg,hydrogen,green_electrolysis,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,11.152582361015785,2.2698623385811674,0.0,13.422444699596952,13.422444699596952
halifax_hamburg,hydrogen,grey_smr,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,308.03828899999996,11.152582361015785,2.2698623385811674,0.0,13.422444699596952,321.4607336995969
halifax_hamburg,hydrogen,blue_smr_ccs,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,11.152582361015785,2.2698623385811674,0.0,13.422444699596952,13.422444699596952
halifax_hamburg,hydrogen,cbam_default,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,532.2538490000001,11.152582361015785,2.2698623385811674,0.0,13.422444699596952,545.676293699597
halifax_hamburg,ammonia,grey_smr,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,45.460322,1.1577295073207226,0.2356303250552357,0.0,1.3933598323759582,46.853681832375955
halifax_hamburg,ammonia,green_electrolysis,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.1577295073207226,0.2356303250552357,0.0,1.3933598323759582,1.3933598323759582
halifax_hamburg,ammonia,cbam_default,2028,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,35.34929999999999,1.1577295073207226,0.2356303250552357,0.0,1.3933598323759582,36.74265983237595
halifax_hamburg,hydrogen,green_electrolysis,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,7.2938829787234045,2.2698623385811674,0.0,9.563745317304573,9.563745317304573
halifax_hamburg,hydrogen,grey_smr,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,92.56423775,7.2938829787234045,2.2698623385811674,0.0,9.563745317304573,102.12798306730457
halifax_hamburg,hydrogen,blue_smr_ccs,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,7.2938829787234045,2.2698623385811674,0.0,9.563745317304573,9.563745317304573
halifax_hamburg,hydrogen,cbam_default,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,152.94379775000002,7.2938829787234045,2.2698623385811674,0.0,9.563745317304573,162.5075430673046
halifax_hamburg,ammonia,grey_smr,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,15.1167995,0.7571648676570126,0.2356303250552357,0.0,0.9927951927122484,16.10959469271225
halifax_hamburg,ammonia,green_electrolysis,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,0.7571648676570126,0.2356303250552357,0.0,0.9927951927122484,0.9927951927122484
halifax_hamburg,ammonia,cbam_default,2029,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,12.393977499999998,0.7571648676570126,0.2356303250552357,0.0,0.9927951927122484,13.386772692712247
halifax_hamburg,hydrogen,green_electrolysis,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,10.776123884694577,2.2698623385811674,0.0,13.045986223275744,13.045986223275744
halifax_hamburg,hydrogen,grey_smr,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,319.22716275,10.776123884694577,2.2698623385811674,0.0,13.045986223275744,332.27314897327574
halifax_hamburg,hydrogen,blue_smr_ccs,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,10.776123884694577,2.2698623385811674,0.0,13.045986223275744,13.045986223275744
halifax_hamburg,hydrogen,cbam_default,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,527.45872275,10.776123884694577,2.2698623385811674,0.0,13.045986223275744,540.5047089732757
halifax_hamburg,ammonia,grey_smr,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,52.133449500000005,1.1186500302803606,0.2356303250552357,0.0,1.3542803553355962,53.4877298553356
halifax_hamburg,ammonia,green_electrolysis,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.1186500302803606,0.2356303250552357,0.0,1.3542803553355962,1.3542803553355962
halifax_hamburg,ammonia,cbam_default,2029,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,42.743227499999996,1.1186500302803606,0.2356303250552357,0.0,1.3542803553355962,44.09750785533559
halifax_hamburg,hydrogen,green_electrolysis,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,12.49371568291009,2.2698623385811674,0.0,14.763578021491256,14.763578021491256
halifax_hamburg,hydrogen,grey_smr,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,431.027119,12.49371568291009,2.2698623385811674,0.0,14.763578021491256,445.79069702149127
halifax_hamburg,hydrogen,blue_smr_ccs,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,12.49371568291009,2.2698623385811674,0.0,14.763578021491256,14.763578021491256
halifax_hamburg,hydrogen,cbam_default,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,712.185679,12.49371568291009,2.2698623385811674,0.0,14.763578021491256,726.9492570214913
halifax_hamburg,ammonia,grey_smr,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,70.39166200000001,1.296950144277012,0.2356303250552357,0.0,1.5325804693322476,71.92424246933226
halifax_hamburg,ammonia,green_electrolysis,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,1.296950144277012,0.2356303250552357,0.0,1.5325804693322476,1.5325804693322476
halifax_hamburg,ammonia,cbam_default,2029,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,57.71278999999999,1.296950144277012,0.2356303250552357,0.0,1.5325804693322476,59.24537046933224
halifax_hamburg,hydrogen,green_electrolysis,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,7.529169526424159,7.943896304941359,0.0,15.473065831365517,15.473065831365517
halifax_hamburg,hydrogen,grey_smr,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,61.45561125,7.529169526424159,7.943896304941359,0.0,15.473065831365517,76.92867708136552
halifax_hamburg,hydrogen,blue_smr_ccs,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,7.529169526424159,7.943896304941359,0.0,15.473065831365517,15.473065831365517
halifax_hamburg,hydrogen,cbam_default,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,94.42261124999999,7.529169526424159,7.943896304941359,0.0,15.473065831365517,109.8956770813655
halifax_hamburg,ammonia,grey_smr,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,11.5184025,0.7815895408072387,0.8246415814398889,0.0,1.6062311222471277,13.124633622247128
halifax_hamburg,ammonia,green_electrolysis,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,0.7815895408072387,0.8246415814398889,0.0,1.6062311222471277,1.6062311222471277
halifax_hamburg,ammonia,cbam_default,2030,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,10.0317525,0.7815895408072387,0.8246415814398889,0.0,1.6062311222471277,11.637983622247127
