corridor,vessel_set,vessel_class,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,uk_price_variant,bunker_fuel,voyage_co2_t,currency,cost_in_own_currency,effective_cost_per_tonne_co2,effective_cost_per_tonne_co2_gbp
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2030,low,n/a,n/a,conventional,950.0,EUR,79311.23524229074,83.48551078135867,71.22790125447591
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2030,low,n/a,n/a,green_rfnbo,950.0,EUR,38592.0,40.62315789473684,34.65873601407472
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2030,medium,n/a,n/a,conventional,950.0,EUR,101501.63524229074,106.84382657083235,91.15667446256886
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2030,medium,n/a,n/a,green_rfnbo,950.0,EUR,60782.399999999994,63.98147368421052,54.58750922216768
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2030,high,n/a,n/a,conventional,950.0,EUR,111632.03524229076,117.5074055182008,100.2545926662635
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2030,high,n/a,n/a,green_rfnbo,950.0,EUR,70912.8,74.64505263157895,63.6854274258623
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2026,low,n/a,n/a,conventional,1593.8,EUR,76169.9779735682,47.79142801704618,40.77453780600993
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2026,low,n/a,n/a,green_rfnbo,1593.8,EUR,56651.0,35.54461036516501,30.32583706470067
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2026,medium,n/a,n/a,conventional,1593.8,EUR,84262.9779735682,52.86922949778403,45.1068002438243
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2026,medium,n/a,n/a,green_rfnbo,1593.8,EUR,64744.0,40.622411845902874,34.65809950251506
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2026,high,n/a,n/a,conventional,1593.8,EUR,92355.9779735682,57.947030978521894,49.43906268163869
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2026,high,n/a,n/a,green_rfnbo,1593.8,EUR,72837.0,45.700213326640736,38.99036194032944
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2027,low,n/a,n/a,conventional,1593.8,EUR,78193.2279735682,49.060878387230645,41.85760341546352
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2027,low,n/a,n/a,green_rfnbo,1593.8,EUR,58674.25,36.81406073534948,31.40890267415427
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2027,medium,n/a,n/a,conventional,1593.8,EUR,93569.92797356819,58.708701200632575,50.088902047310846
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2027,medium,n/a,n/a,green_rfnbo,1593.8,EUR,74050.95,46.46188354875141,39.64020130600159
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2027,high,n/a,n/a,conventional,1593.8,EUR,103888.50297356819,65.18289808857334,55.61253665552418
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2027,high,n/a,n/a,green_rfnbo,1593.8,EUR,84369.525,52.93608043669218,45.16383591421493
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2028,low,n/a,n/a,conventional,1593.8,EUR,80216.4779735682,50.33032875741511,42.94066902491712
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2028,low,n/a,n/a,green_rfnbo,1593.8,EUR,60697.5,38.083511105533944,32.49196828360786
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2028,medium,n/a,n/a,conventional,1593.8,EUR,102876.87797356819,64.5481729034811,55.071003850797375
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2028,medium,n/a,n/a,green_rfnbo,1593.8,EUR,83357.9,52.30135525159995,44.622303109488136
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2028,high,n/a,n/a,conventional,1593.8,EUR,115421.02797356818,72.41876519862478,61.78601062940967
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2028,high,n/a,n/a,green_rfnbo,1593.8,EUR,95902.04999999999,60.171947546743624,51.33730988810042
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2029,low,n/a,n/a,conventional,1593.8,EUR,82239.7279735682,51.599779127599575,44.02373463437072
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2029,low,n/a,n/a,green_rfnbo,1593.8,EUR,62720.75,39.35296147571841,33.57503389306146
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2029,medium,n/a,n/a,conventional,1593.8,EUR,112183.82797356819,70.38764460632964,60.05310565428392
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2029,medium,n/a,n/a,green_rfnbo,1593.8,EUR,92664.84999999999,58.140826954448485,49.60440491297467
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2029,high,n/a,n/a,conventional,1593.8,EUR,126953.55297356819,79.65463230867624,67.95948460329517
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2029,high,n/a,n/a,green_rfnbo,1593.8,EUR,107434.575,67.40781465679508,57.51078386198592
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2030,low,n/a,n/a,conventional,1593.8,EUR,133055.07524229074,83.48291833497976,71.22568943936025
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2030,low,n/a,n/a,green_rfnbo,1593.8,EUR,64744.0,40.622411845902874,34.65809950251506
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2030,medium,n/a,n/a,conventional,1593.8,EUR,170282.87524229073,106.84080514637391,91.15409665330641
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2030,medium,n/a,n/a,green_rfnbo,1593.8,EUR,101971.79999999999,63.98029865729702,54.58650671646121
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2030,high,n/a,n/a,conventional,1593.8,EUR,187278.17524229074,117.50418825592342,100.25184777271662
halifax_hamburg,container,ACL G4-class ConRo,suez,service,2030,high,n/a,n/a,green_rfnbo,1593.8,EUR,118967.09999999999,74.64368176684653,63.68425783587141
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2026,low,current_scope,frozen,n/a,4333.6,GBP,2376.8,0.5484585563965294,0.5484585563965294
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2026,medium,current_scope,frozen,n/a,4333.6,GBP,2935.9422,0.677483431788813,0.677483431788813
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2026,high,current_scope,frozen,n/a,4333.6,GBP,3565.2000000000003,0.8226878345947941,0.8226878345947941
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2027,low,current_scope,frozen,n/a,4333.6,GBP,2376.8,0.5484585563965294,0.5484585563965294
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2027,medium,current_scope,frozen,n/a,4333.6,GBP,2935.9422,0.677483431788813,0.677483431788813
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2027,high,current_scope,frozen,n/a,4333.6,GBP,3565.2000000000003,0.8226878345947941,0.8226878345947941
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2028,low,current_scope,frozen,n/a,4333.6,GBP,2376.8,0.5484585563965294,0.5484585563965294
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2028,low,proposed_expansion,frozen,n/a,4333.6,GBP,90398.80000000002,20.85997784751708,20.85997784751708
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2028,medium,current_scope,frozen,n/a,4333.6,GBP,2935.9422,0.677483431788813,0.677483431788813
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2028,medium,proposed_expansion,frozen,n/a,4333.6,GBP,111665.1177,25.767287636145465,25.767287636145465
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2028,high,current_scope,frozen,n/a,4333.6,GBP,3565.2000000000003,0.8226878345947941,0.8226878345947941
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2028,high,proposed_expansion,frozen,n/a,4333.6,GBP,135598.2,31.289966771275616,31.289966771275616
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2029,low,current_scope,frozen,n/a,4333.6,GBP,2376.8,0.5484585563965294,0.5484585563965294
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2029,low,proposed_expansion,frozen,n/a,4333.6,GBP,90398.80000000002,20.85997784751708,20.85997784751708
ningbo_felixstowe,gas_carrier,VLGC/VLAC,suez,lower,2029,medium,current_scope,frozen,n/a,4333.6,GBP,2935.9422,0.677483431788813,0.677483431788813
