corridor,product,pathway,year,parameter,mean_abs_pct_change,rank
ningbo_felixstowe,hydrogen,coal_gasification,2030,main_engine_power_kw,0.03092677588594224,4
ningbo_felixstowe,hydrogen,coal_gasification,2030,sfoc_g_per_kwh,0.03092677588594224,4
ningbo_felixstowe,hydrogen,coal_gasification,2030,port_days,0.030706886638731296,5
ningbo_felixstowe,hydrogen,coal_gasification,2030,vlsfo_carbon_factor,0.0302800428059274,6
ningbo_felixstowe,hydrogen,coal_gasification,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,hydrogen,coal_gasification,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,hydrogen,coal_gasification,2030,service_speed_knots,0.0,7
ningbo_felixstowe,hydrogen,green_electrolysis,2030,carbon_price,19.999999999999996,1
ningbo_felixstowe,hydrogen,green_electrolysis,2030,embedded_emissions_tco2e_per_tonne,19.73909813037865,2
ningbo_felixstowe,hydrogen,green_electrolysis,2030,cargo_tonnes,0.27177278085558165,3
ningbo_felixstowe,hydrogen,green_electrolysis,2030,engine_load_fraction,0.2624606068094328,4
ningbo_felixstowe,hydrogen,green_electrolysis,2030,main_engine_power_kw,0.2624606068094328,4
ningbo_felixstowe,hydrogen,green_electrolysis,2030,sfoc_g_per_kwh,0.2624606068094328,4
ningbo_felixstowe,hydrogen,green_electrolysis,2030,port_days,0.2605945129927302,5
ningbo_felixstowe,hydrogen,green_electrolysis,2030,vlsfo_carbon_factor,0.2569720955838049,6
ningbo_felixstowe,hydrogen,green_electrolysis,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,hydrogen,green_electrolysis,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,hydrogen,green_electrolysis,2030,service_speed_knots,0.0,7
