corridor,vessel_set,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,distance_nm,voyage_days,voyage_co2_t,port_co2_t,voyage_co2e_t,port_co2e_t,uk_price_variant,bunker_fuel,eu_ets_cost_eur,fueleu_cost_eur,uk_ets_cost_gbp,total_eur,total_gbp
halifax_hamburg,VLGC/VLAC,suez,upper,2030,low,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,38592.0,0.0,0.0,38592.0,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2030,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,60782.399999999994,40719.23524229075,0.0,101501.63524229074,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2030,medium,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,60782.399999999994,0.0,0.0,60782.399999999994,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2030,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,conventional,70912.8,40719.23524229075,0.0,111632.03524229076,0.0
halifax_hamburg,VLGC/VLAC,suez,upper,2030,high,n/a,2962,7.3,950.0,58.51,964.8,59.42,n/a,green_rfnbo,70912.8,0.0,0.0,70912.8,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2026,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,56651.0,19518.9779735682,0.0,76169.9779735682,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2026,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,56651.0,0.0,0.0,56651.0,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2026,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,64744.0,19518.9779735682,0.0,84262.9779735682,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2026,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,64744.0,0.0,0.0,64744.0,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2026,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,72837.0,19518.9779735682,0.0,92355.9779735682,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2026,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,72837.0,0.0,0.0,72837.0,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2027,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,58674.25,19518.9779735682,0.0,78193.2279735682,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2027,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,58674.25,0.0,0.0,58674.25,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2027,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,74050.95,19518.9779735682,0.0,93569.92797356819,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2027,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,74050.95,0.0,0.0,74050.95,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2027,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,84369.525,19518.9779735682,0.0,103888.50297356819,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2027,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,84369.525,0.0,0.0,84369.525,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2028,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,60697.5,19518.9779735682,0.0,80216.4779735682,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2028,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,60697.5,0.0,0.0,60697.5,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2028,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,83357.9,19518.9779735682,0.0,102876.87797356819,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2028,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,83357.9,0.0,0.0,83357.9,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2028,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,95902.04999999999,19518.9779735682,0.0,115421.02797356818,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2028,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,95902.04999999999,0.0,0.0,95902.04999999999,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2029,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,62720.75,19518.9779735682,0.0,82239.7279735682,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2029,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,62720.75,0.0,0.0,62720.75,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2029,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,92664.84999999999,19518.9779735682,0.0,112183.82797356819,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2029,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,92664.84999999999,0.0,0.0,92664.84999999999,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2029,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,107434.575,19518.9779735682,0.0,126953.55297356819,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2029,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,107434.575,0.0,0.0,107434.575,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2030,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,64744.0,68311.07524229075,0.0,133055.07524229074,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2030,low,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,64744.0,0.0,0.0,64744.0,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2030,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,101971.79999999999,68311.07524229075,0.0,170282.87524229073,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2030,medium,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,101971.79999999999,0.0,0.0,101971.79999999999,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2030,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,conventional,118967.09999999999,68311.07524229075,0.0,187278.17524229074,0.0
halifax_hamburg,ACL G4-class ConRo,suez,service,2030,high,n/a,2962,6.9,1593.8,103.89,1618.6,105.51,n/a,green_rfnbo,118967.09999999999,0.0,0.0,118967.09999999999,0.0
